Date,Close,Open,High,Low,Volume,Change %
2/1/2017,36925.00,38733.00,38877.00,36660.00,4190,-4.67%
2/2/2017,38733.00,38495.00,39350.00,38039.00,4290,0.54%
2/3/2017,38526.00,37914.40,38772.10,36683.00,4770,1.55%
2/4/2017,37939.00,38179.90,38349.00,37398.00,2050,-0.68%
2/5/2017,38197.00,37759.80,38696.00,37347.70,3550,1.16%
2/6/2017,37759.80,37217.00,38041.00,36197.00,4580,1.46%
2/7/2017,37217.00,36830.80,37248.00,35571.00,6940,1.05%
2/8/2017,36830.80,36986.00,38901.00,36301.00,10650,-0.44%
2/9/2017,36994.00,36702.00,37545.00,35759.00,8860,0.80%
2/10/2017,36702.00,36308.00,37460.00,32981.00,23100,1.09%
2/11/2017,36308.00,35103.00,36550.00,34687.30,8720,3.43%
2/12/2017,35103.00,36467.00,36816.00,34079.00,17580,-3.83%
2/13/2017,36501.00,40740.00,41132.00,35524.00,16220,-10.41%
2/14/2017,40740.00,41676.00,43540.60,40572.00,5110,-2.25%
2/15/2017,41676.00,42390.00,42581.20,41180.00,6450,-1.68%
2/16/2017,42390.00,42223.00,42682.00,41304.00,4340,0.35%
2/17/2017,42242.00,43084.00,43191.00,41568.00,2920,-1.95%
2/18/2017,43084.00,43069.00,43487.00,42611.80,1580,0.03%
2/19/2017,43069.00,43091.00,43806.00,42600.00,3200,-0.05%
2/20/2017,43091.00,42562.00,43463.00,41839.00,4310,1.24%
2/21/2017,42562.00,43909.00,44426.70,42334.00,3740,-3.07%
2/22/2017,43909.00,42743.00,44305.00,42475.00,3770,2.73%
2/23/2017,42743.00,41839.00,43113.00,41287.00,4790,2.16%
2/24/2017,41839.00,41850.00,42270.00,39677.00,9550,-0.03%
2/25/2017,41850.00,41679.00,42790.00,41275.00,3720,0.41%
2/26/2017,41679.00,41518.00,42319.00,40570.00,4150,0.39%
2/27/2017,41518.00,43111.00,43132.00,40755.00,7400,-3.70%
2/28/2017,43111.00,43418.00,43777.00,42487.00,3410,-0.71%
3/1/2017,43418.00,45830.00,47056.70,42519.00,6930,-5.26%
3/2/2017,45830.00,46445.00,47546.00,45583.00,3790,-1.32%
3/3/2017,46445.00,47314.00,47578.00,45701.00,2580,-1.84%
3/4/2017,47314.00,47755.00,47980.00,46698.00,1840,-0.92%
3/5/2017,47755.00,46218.00,47954.00,46215.00,2180,3.33%
3/6/2017,46218.00,47156.00,48589.00,45697.00,4250,-1.99%
3/7/2017,47156.00,46465.00,47911.00,45996.00,3200,1.49%
3/8/2017,46465.00,47554.00,48166.00,46129.00,4120,-2.29%
3/9/2017,47554.00,50684.00,50710.00,47339.00,5430,-6.18%
3/10/2017,50684.00,50797.00,52027.00,50483.00,3520,-0.22%
3/11/2017,50797.00,50435.20,51281.00,49473.00,2900,0.71%
3/12/2017,50437.00,50815.00,51169.00,50209.00,1990,-0.74%
3/13/2017,50815.00,50833.00,51834.00,50439.00,2600,0.01%
3/14/2017,50812.00,48626.00,51376.00,48078.00,4430,4.50%
3/15/2017,48626.00,48923.00,49575.10,48459.80,3140,-0.61%
3/16/2017,48923.00,46898.00,49352.00,46683.00,4710,4.32%
3/17/2017,46898.00,46716.50,47541.00,45606.00,5650,0.39%
3/18/2017,46716.50,46879.00,48283.00,46474.90,5240,-0.35%
3/19/2017,46879.00,46193.00,47364.00,45543.50,3740,1.49%
3/20/2017,46193.00,47675.00,48028.80,45539.00,5860,-3.11%
3/21/2017,47675.00,48901.00,49462.10,47561.00,3530,-2.51%
3/22/2017,48901.00,48408.00,49520.00,46602.00,7040,1.02%
3/23/2017,48408.00,46777.00,48656.00,46356.20,5480,3.49%
3/24/2017,46777.00,50123.00,50222.70,45790.00,8710,-6.68%
3/25/2017,50123.00,49363.10,50800.00,48692.00,3870,1.54%
